IP,isBad
131.228.15.89,True
131.228.15.9,True
131.228.15.94,True
131.228.15.99,True
144.86.226.1,True
144.86.226.10,True
144.86.226.102,True
144.86.226.105,True
144.86.226.108,True
144.86.226.11,True
144.86.226.114,True
144.86.226.115,True
144.86.226.117,True
144.86.226.12,True
144.86.226.120,True
144.86.226.121,True
144.86.226.122,True
144.86.226.123,True
144.86.226.127,True
144.86.226.128,True
144.86.226.129,True
144.86.226.13,True
144.86.226.130,True
144.86.226.135,True
144.86.226.137,True
144.86.226.139,True
144.86.226.140,True
144.86.226.141,True
144.86.226.142,True
144.86.226.143,True
144.86.226.144,True
144.86.226.146,True
144.86.226.147,True
144.86.226.149,True
144.86.226.150,True
144.86.226.151,True
144.86.226.152,True
144.86.226.155,True
144.86.226.157,True
144.86.226.16,True
144.86.226.161,True
144.86.226.163,True
144.86.226.164,True
144.86.226.167,True
144.86.226.168,True
144.86.226.173,True
144.86.226.175,True
144.86.226.179,True
144.86.226.18,True
144.86.226.184,True
144.86.226.186,True
144.86.226.188,True
144.86.226.189,True
144.86.226.193,True
144.86.226.196,True
144.86.226.2,True
144.86.226.200,True
144.86.226.21,True
144.86.226.211,True
144.86.226.212,True
144.86.226.216,True
144.86.226.218,True
144.86.226.219,True
144.86.226.222,True
144.86.226.224,True
144.86.226.225,True
144.86.226.228,True
144.86.226.23,True
144.86.226.236,True
144.86.226.238,True
144.86.226.240,True
144.86.226.242,True
144.86.226.244,True
144.86.226.245,True
144.86.226.248,True
144.86.226.252,True
144.86.226.29,True
144.86.226.3,True
144.86.226.33,True
144.86.226.35,True
144.86.226.36,True
144.86.226.39,True
144.86.226.40,True
144.86.226.47,True
144.86.226.48,True
144.86.226.49,True
144.86.226.5,True
144.86.226.52,True
144.86.226.55,True
144.86.226.57,True
144.86.226.62,True
144.86.226.67,True
144.86.226.68,True
144.86.226.69,True
144.86.226.72,True
144.86.226.73,True
144.86.226.75,True
144.86.226.78,True
144.86.226.81,True
144.86.226.84,True
144.86.226.85,True
144.86.226.89,True
144.86.226.9,True
144.86.226.91,True
144.86.226.96,True
144.86.226.97,True
144.86.226.98,True
144.86.226.99,True
146.112.61.104,True
146.112.61.107,True
154.118.140.185,True
154.118.140.65,True
173.44.37.208,True
184.168.221.38,True
184.168.221.42,True
184.168.221.44,True
184.168.221.53,True
184.168.221.58,True
184.72.181.52,True
188.164.131.200,True
192.161.187.200,True
198.251.81.30,True
198.251.84.92,True
199.201.117.1,True
199.201.117.10,True
199.201.117.104,True
199.201.117.106,True
199.201.117.107,True
199.201.117.11,True
199.201.117.128,True
199.201.117.129,True
199.201.117.130,True
199.201.117.131,True
199.201.117.136,True
199.201.117.137,True
199.201.117.138,True
199.201.117.139,True
199.201.117.148,True
199.201.117.149,True
199.201.117.151,True
199.201.117.157,True
199.201.117.158,True
199.201.117.159,True
199.201.117.160,True
199.201.117.161,True
199.201.117.162,True
199.201.117.163,True
199.201.117.168,True
199.201.117.169,True
199.201.117.170,True
199.201.117.171,True
199.201.117.182,True
